sql_prompt,sql
retrieve number vessel vesselsregister table registered u flagstate,SELECT COUNT(*) FROM vessels_register WHERE flag_state = 'US';
average cost rural infrastructure project state bihar 2018,SELECT AVG(cost) FROM rural_infrastructure WHERE state = 'Bihar' AND start_date >= '2018-01-01' AND start_date < '2019-01-01' AND project_type = 'Road Construction';
many virtual tour conducted canada q2 2022,SELECT COUNT(*) FROM can_virtual_tours WHERE country = 'Canada' AND tour_date BETWEEN '2022-04-01' AND '2022-06-30';
total donation amount q2 2021,SELECT SUM(amount) FROM donations WHERE donation_date BETWEEN '2021-04-01' AND '2021-06-30';
average daily rate hotel uk calculated sum revenue divided number room sold,"SELECT hotel_name, AVG(revenue / rooms_sold) as avg_daily_rate FROM hotel_revenue WHERE country = 'UK' GROUP BY hotel_name;"
list number virtual tour engaged per month hotel africa wellness package,"SELECT h.country, v.month, COUNT(v.views) FROM hotels h JOIN virtual_tours v ON h.id = v.hotel_id WHERE h.country = 'Africa' AND h.wellness = TRUE GROUP BY h.country, v.month;"
total number employee hired last 3 year grouped hiring department,"SELECT Department, COUNT(*) AS TotalHired FROM HiringData WHERE HireDate >= DATE_SUB(CURDATE(), INTERVAL 3 YEAR) GROUP BY Department;"
total area covered marine protected area caribbean,SELECT SUM(area_size) FROM marine_protected_areas WHERE region = 'Caribbean';
identify number vessel compliance maritime law atlantic ocean,"SELECT region, COUNT(*) FROM maritime_law_compliance WHERE compliance_status = 'Compliant' AND region = 'Atlantic Ocean' GROUP BY region;"
common infectious disease india,"SELECT Disease, MAX(Count) FROM Diseases WHERE Country = 'India';"
many new volunteer signed q2 2021 categorized skill,"SELECT skill, COUNT(*) as new_volunteers FROM volunteers WHERE signup_date BETWEEN '2021-04-01' AND '2021-06-30' GROUP BY skill;"
total number policy respective policy type issued agent city chicago sorted total number policy descending order,"SELECT agent_id, policy_type, COUNT(*) OVER (PARTITION BY agent_id) AS total_policies FROM policies WHERE city = 'Chicago' ORDER BY total_policies DESC;"
list policy number policy dropped past month lifepolicy table,"SELECT policy_number FROM life_policy WHERE drop_date >= DATEADD(month, -1, CURRENT_DATE);"
total number pollution control initiative mediterranean sea,SELECT COUNT(*) FROM pollution_control_initiatives WHERE region = 'Mediterranean Sea';
many fan attended away game team first half 2021 season,SELECT SUM(fans_attended) FROM games WHERE team_a = 'Team A' AND location = 'Away' AND id <= 13;
total number farmer received support agricultural innovation project brazil colombia,"SELECT COUNT(DISTINCT farmers.id) FROM farmers INNER JOIN innovation_projects ON farmers.id = innovation_projects.farmer_id WHERE farmers.country IN ('Brazil', 'Colombia');"
find number accessible technology product released 2022 2023 developed company based oceania southeast asia,"SELECT COUNT(*) FROM accessible_tech WHERE product_release_year BETWEEN 2022 AND 2023 AND company_region IN ('Oceania', 'Southeast Asia');"
top 5 threat actor total number attack past 6 month,"SELECT actor_id, actor_name, SUM(attack_count) as total_attacks FROM threat_actors WHERE attack_date >= DATEADD(month, -6, GETDATE()) GROUP BY actor_id, actor_name ORDER BY total_attacks DESC LIMIT 5;"
average rating ecofriendly hotel berlin rome,"SELECT AVG(rating) FROM hotel_ratings WHERE city IN ('Berlin', 'Rome');"
count number hotel asia 100 review,SELECT COUNT(*) FROM hotels WHERE country = 'Asia' GROUP BY country HAVING COUNT(*) > 100;
top 5 threat actor highest number successful attack healthcare organization last 90 day along total number successful attack,"SELECT name, success_count FROM threat_actors WHERE target_sector = 'Healthcare' AND success_count > 0 ORDER BY success_count DESC LIMIT 5;"
find average spending per transaction finedining category month june 2022,SELECT AVG(amount) as avg_spending FROM transactions WHERE category = 'fine_dining' AND transaction_date BETWEEN '2022-06-01' AND '2022-06-30';
incidence rate tuberculosis eastern europe since 2015,"SELECT country, AVG(rate) FROM tb WHERE region = 'Eastern Europe' AND year >= 2015 GROUP BY country;"
lowest claim amount asia region,SELECT MIN(Amount) FROM Claims WHERE Region = 'Asia';
average claim amount number claim policyholder male policy type auto,"SELECT P.Gender, PL.PolicyType, AVG(C.ClaimAmount) as AverageClaimAmount, COUNT(C.Id) as NumberOfClaims FROM Policyholders P JOIN Policies PL ON P.Id = PL.PolicyholderId JOIN Claims C ON PL.Id = C.PolicyId WHERE P.Gender = 'Male' AND PL.PolicyType = 'Auto' GROUP BY P.Gender, PL.PolicyType ORDER BY AverageClaimAmount DESC;"
revenue generated virtual tour new york,SELECT SUM(revenue) FROM tours WHERE city = 'New York';
percentage uninsured united state,SELECT (Uninsured / Total) * 100 FROM Insurance WHERE Type = 'United States';
economic diversification progress industry country year 2020,"SELECT country, industry, AVG(progress_percent) as average_progress_percent FROM economic_diversification WHERE year = 2020 GROUP BY country, industry;"
many whale sighting reported north atlantic north pacific region,"SELECT COUNT(*) FROM whale_sightings WHERE location IN ('North Atlantic', 'North Pacific');"
average revenue per night local event new york,"SELECT AVG(revenue / DATEDIFF(end_date, start_date)) FROM Events WHERE location = 'New York' AND type = 'Local';"
minimum depth marine life found mediterranean sea,SELECT MIN(depth) FROM marine_life_depths WHERE region = 'Mediterranean';
find economic diversification effort country population 10 million 2022 ordered diverse economy first,"SELECT country, COUNT(DISTINCT industry) as num_industries FROM economic_diversification WHERE year = 2022 AND population > 10000000 GROUP BY country ORDER BY num_industries DESC;"
name ethical ai project launched 2019 earlier,SELECT ProjectName FROM ProjectTimeline WHERE YEAR(LaunchDate) <= 2019 AND ProjectName LIKE '%Ethical AI%';
display name donor donated 2021 2022 sum donation year,"SELECT donor_name, SUM(CASE WHEN YEAR(donation_date) = 2021 THEN donation_amount ELSE 0 END) AS donations_2021, SUM(CASE WHEN YEAR(donation_date) = 2022 THEN donation_amount ELSE 0 END) AS donations_2022 FROM donors d JOIN donations don ON d.donor_id = don.donor_id WHERE donation_date BETWEEN '2021-01-01' AND '2021-12-31' OR donation_date BETWEEN '2022-01-01' AND '2022-12-31' GROUP BY donor_name HAVING donations_2021 > 0 AND donations_2022 > 0;"
average number primary care physician per 100k people,"SELECT AVG(p.num_physicians_per_100k) FROM (SELECT states.name, (COUNT(physicians.name) / (states.population / 100000)) AS num_physicians_per_100k FROM physicians JOIN states ON physicians.state = states.name WHERE physicians.specialty = 'Primary Care' GROUP BY states.name) AS p;"
average local economic impact sustainable tourism activity new zealand,SELECT AVG(local_economic_impact) FROM SustainableTourismActivities WHERE country = 'New Zealand';
average salary female employee marketing department,SELECT AVG(salary) FROM employee_details WHERE department = 'Marketing' AND gender = 'Female';
total training cost employee sale department 2021,SELECT SUM(TrainingCost) FROM EmployeeTraining WHERE Department = 'Sales' AND YEAR(TrainingDate) = 2021;
minimum depth reached expedition arctic ocean,SELECT MIN(MinDepth) FROM Expeditions WHERE Location = 'Arctic';
total revenue generated virtual tour usa,SELECT SUM(revenue) FROM virtual_tours WHERE country = 'USA';
average donation amount continent year 2021,"SELECT donor_continent, AVG(amount) as avg_donation FROM donations WHERE donation_date >= '2021-01-01' AND donation_date < '2022-01-01' GROUP BY donor_continent;"
claim adjuster processed claim,SELECT ClaimAdjusters.Name FROM ClaimAdjusters LEFT JOIN Claims ON ClaimAdjusters.AdjusterID = Claims.AdjusterID WHERE Claims.AdjusterID IS NULL;
percentage hospital los angeles offer free covid19 testing,SELECT (COUNT(*) * 100.0 / (SELECT COUNT(*) FROM Hospitals WHERE City = 'Los Angeles')) FROM Hospitals WHERE City = 'Los Angeles' AND FreeTesting = TRUE;
many specie sighted 5 time indian ocean since 2015,SELECT COUNT(*) FROM (SELECT species FROM Sightings WHERE location = 'Indian Ocean' AND date > '2015-01-01' GROUP BY species HAVING COUNT(*) > 5) AS subquery;
find maximum depth underwater volcano southern ocean,SELECT MAX(depth) FROM underwater_volcanoes WHERE ocean = 'Southern';
organization highest average donation amount southeast region,"SELECT name, avg_donation FROM organizations WHERE region = 'Southeast' ORDER BY avg_donation DESC;"
total local economic impact ecofriendly hotel tokyo berlin last year,"SELECT SUM(amount) FROM economic_impact WHERE city IN ('Tokyo', 'Berlin') AND DATE_TRUNC('year', timestamp) = DATE_TRUNC('year', NOW() - INTERVAL '1 year');"
marine protected area mpa size greater 50000 square kilometer arctic region region,SELECT mpa.name FROM mpa INNER JOIN region ON mpa.region_id = region.id WHERE region.name = 'Arctic' AND mpa.area_sqkm > 50000;
top 3 country highest average severity vulnerability last year according vulnerability database,"SELECT country, AVG(severity) as avg_severity FROM VulnerabilityDatabase WHERE timestamp >= DATE_SUB(NOW(), INTERVAL 1 YEAR) GROUP BY country ORDER BY avg_severity DESC LIMIT 3;"
maximum severity threat detected department 2022,SELECT MAX(severity) FROM threats WHERE department = 'IT' AND YEAR(detection_date) = 2022;
average revenue per sustainable tour india,SELECT AVG(revenue) FROM sustainable_tours_india WHERE country = 'India';
percentage technology accessibility score 50 country africa,"SELECT region, COUNT(*) FILTER (WHERE score < 50) as num_scores, COUNT(*) as total_scores, (COUNT(*) FILTER (WHERE score < 50) * 100.0 / COUNT(*)) as percentage FROM technology_accessibility WHERE region = 'Africa' GROUP BY region;"
many confirmed covid19 case japan,SELECT ConfirmedCases FROM CovidData WHERE Country = 'Japan';
birthdates policyholder policy auto life category whose birthdate january 1 1985,SELECT Birthdate FROM Policyholder WHERE PolicyType = 'Auto' INTERSECT SELECT Birthdate FROM Policyholder WHERE PolicyType = 'Life' INTERSECT SELECT Birthdate FROM Policyholder WHERE Birthdate < '1985-01-01';
top 5 vulnerability highest severity score last quarter,"SELECT vuln_id, vuln_severity FROM Vulnerabilities WHERE vuln_date BETWEEN DATE_SUB(CURRENT_DATE, INTERVAL 3 MONTH) AND CURRENT_DATE GROUP BY vuln_id, vuln_severity ORDER BY vuln_severity DESC LIMIT 5;"
minimum water temperature arctic ocean near greenland,SELECT MIN(temperature) FROM ocean_temperatures WHERE ocean = 'Arctic' AND region = 'Greenland';
average salary increase employee promoted last year,"SELECT AVG(Difference) as AvgSalaryIncrease FROM (SELECT Salaries.EmployeeID, Salaries.PromotionDate, Salaries.Salary - LAG(Salaries.Salary, 1) OVER (PARTITION BY Salaries.EmployeeID ORDER BY Salaries.PromotionDate) as Difference FROM Salaries WHERE Salaries.PromotionDate BETWEEN DATEADD(YEAR, -1, GETDATE()) AND GETDATE()) as Subquery;"
list cultural heritage site japan opening hour admission fee,"SELECT name, opening_hours, admission_fee FROM cultural_sites WHERE country = 'Japan';"
name rating toprated ecofriendly hotel spain,"SELECT name, rating FROM eco_hotels WHERE country = 'Spain' ORDER BY rating DESC LIMIT 1;"
total revenue generated booking hotel located asia pacific region year 2022 considering completed cancelled booking,SELECT SUM(booking_revenue) FROM hotels INNER JOIN bookings ON hotels.hotel_id = bookings.hotel_id WHERE hotels.region = 'Asia Pacific' AND YEAR(booking_date) = 2022 AND (booking_status = 'completed' OR booking_status = 'cancelled');
average number affected user data breach technology sector globally,SELECT AVG(affected_users) FROM data_breaches WHERE sector = 'Technology';
total revenue boutique hotel tokyo,SELECT SUM(bookings.revenue) FROM hotels_types INNER JOIN bookings ON hotels_types.hotel_id = bookings.hotel_id WHERE hotels_types.type = 'Boutique' AND bookings.hotel_id IN (SELECT hotel_id FROM hotels WHERE city = 'Tokyo');
find average number run scored last 4 game team,"SELECT team, AVG(runs) as avg_runs FROM (SELECT team, runs, ROW_NUMBER() OVER (PARTITION BY team ORDER BY game_id DESC) as rn FROM games) t WHERE rn <= 4 GROUP BY team;"
monthly revenue trend budget hotel europe 2022,"SELECT revenue_date, SUM(revenue) as monthly_revenue FROM hotel_revenue WHERE hotel_category = 'Budget' AND region = 'Europe' AND revenue_date BETWEEN '2022-01-01' AND '2022-12-31' GROUP BY EXTRACT(MONTH FROM revenue_date);"
conservation initiative present conservationinitiatives table,SELECT initiative FROM (SELECT 'Ice Cap Mapping' AS initiative UNION ALL SELECT 'Beach Cleanup' UNION ALL SELECT 'Coral Restoration' UNION ALL SELECT 'Fish Population Study' UNION ALL SELECT 'Ocean Floor Mapping') initiatives WHERE initiative NOT IN (SELECT initiative FROM conservation_initiatives);
identify organization social impact score 80 corresponding number volunteer total donation amount,"SELECT o.org_name, social_impact_score, COUNT(v.vol_id) AS num_volunteers, SUM(donation_amount) AS total_donations FROM organizations o JOIN volunteers v ON o.org_id = v.org_id JOIN donations don ON o.org_id = don.org_id WHERE o.social_impact_score > 80 GROUP BY o.org_name, social_impact_score;"
get number volleyball game played 2022,SELECT COUNT(*) FROM volleyball_games WHERE YEAR(game_date) = 2022;
average social impact score organization midwest,"SELECT region, AVG(score) as avg_score FROM social_impact_scores WHERE region = 'Midwest';"
list marine pollution control initiative arctic region,SELECT initiative_name FROM marine_pollution_control WHERE region = 'Arctic';
total number high severity vulnerability organization,"SELECT org_id, COUNT(*) as total_high_severity FROM vulnerabilities WHERE vuln_severity = 'high' GROUP BY org_id;"
success rate woman empowerment initiative indigenous community latin america,"SELECT CommunityDevelopment.initiative, AVG(CommunityDevelopment.success_rate) as average_success_rate FROM CommunityDevelopment INNER JOIN Geography ON 'Community B' = Geography.country WHERE CommunityDevelopment.community_type = 'Indigenous' AND CommunityDevelopment.initiative = 'Women Empowerment' GROUP BY CommunityDevelopment.initiative;"
average budget spent ethical ai initiative organization located asiapacific region,SELECT AVG(budget) FROM organization WHERE region = 'Asia-Pacific';
list name nonprofit number volunteer managed last 6 month,"SELECT n.name, COUNT(v.id) as num_volunteers FROM non_profit n INNER JOIN volunteers v ON n.id = v.non_profit_id INNER JOIN volunteer_management vm ON v.id = vm.volunteer_id WHERE vm.management_date >= DATE_SUB(CURRENT_DATE, INTERVAL 6 MONTH) GROUP BY n.id;"
find policyholder lowest claim amount low risk underwriting group,"SELECT name, claim_amount FROM (SELECT name, claim_amount, ROW_NUMBER() OVER (PARTITION BY group ORDER BY claim_amount ASC) rn FROM underwriting WHERE group = 'Low Risk') sub WHERE rn = 1;"
total expenditure rural electrification project 2019,SELECT SUM(expenditure) FROM rural_electrification WHERE YEAR(start_date) = 2019 AND YEAR(end_date) = 2019;
many space mission successful first half 2022,SELECT COUNT(*) FROM SpaceMissions WHERE year = 2022 AND month BETWEEN 1 AND 6 AND success = true;
total number satellite launched country 2020,SELECT COUNT(s.id) FROM satellite s INNER JOIN country c ON s.country_id = c.id WHERE YEAR(s.launch_date) = 2020;
top 5 volunteer volunteer hour specific year based volunteerhours volunteer table,"SELECT volunteers.name, SUM(volunteer_hours.hours) as total_hours FROM volunteers INNER JOIN volunteer_hours ON volunteers.id = volunteer_hours.volunteer_id WHERE YEAR(volunteer_hours.hour_date) = 2022 GROUP BY volunteers.id ORDER BY total_hours DESC LIMIT 5;"
many infectious disease case reported age group 2020,"SELECT age_group, COUNT(*) AS cases FROM infectious_diseases WHERE report_year = 2020 GROUP BY age_group;"
total number farmer adopted precision agriculture technique mekong delta region vietnam,SELECT COUNT(*) FROM Farmers F INNER JOIN PrecisionAgriculture PA ON F.FarmerID = PA.FarmerID WHERE F.Location = 'Mekong Delta';
number employee completed diversity inclusion training gender,"SELECT 'Employees', Gender, 'Diversity and Inclusion' as TrainingType, COUNT(*) as total FROM Employees JOIN Training ON Employees.EmployeeID = Training.EmployeeID WHERE TrainingType = 'Diversity and Inclusion' GROUP BY Gender;"
total number game played team team team b combined,"SELECT 'Team A' as team, COUNT(*) as total_games FROM games WHERE team = 'Team A' AND played = TRUE; SELECT 'Team B' as team, COUNT(*) as total_games FROM games WHERE team = 'Team B' AND played = TRUE; SELECT SUM(total_games) FROM (SELECT 'Team A' as team, COUNT(*) as total_games FROM games WHERE team = 'Team A' AND played = TRUE UNION SELECT 'Team B' as team, COUNT(*) as total_games FROM games WHERE team = 'Team B' AND played = TRUE) as combined_teams;"
total salary cost employee hr department,"SELECT SUM(Salary) FROM Employees WHERE Department IN ('IT', 'HR');"
total number marine specie observed pacific ocean 2020,SELECT SUM(num_species) FROM oceans WHERE name = 'Pacific Ocean' AND year = 2020;
average depth ocean floor arctic ocean,SELECT AVG(depth) FROM ocean_floor_mapping WHERE location LIKE '%Arctic Ocean%';
list number heritage site india preservation cost,"SELECT HeritageSites.Country, SUM(HeritageSites.PreservationCost) AS TotalPreservationCost, COUNT(HeritageSites.SiteName) AS SiteCount FROM HeritageSites WHERE HeritageSites.Country = 'India' GROUP BY HeritageSites.Country;"
many female employee hr department salary greater 60000,SELECT COUNT(*) FROM Employees WHERE Department = 'HR' AND Gender = 'Female' AND Salary > 60000;
average pollution level atlantic ocean last 3 year,"SELECT AVG(pollution_level) FROM atlantic_pollution_records WHERE location = 'Atlantic Ocean' AND record_date >= DATE_SUB(CURRENT_DATE, INTERVAL 3 YEAR);"
determine number user engaged virtual tour middle east region month march april year 2021,"SELECT COUNT(DISTINCT u.user_id) FROM users u INNER JOIN user_tour_interactions uti ON u.user_id = uti.user_id INNER JOIN virtual_tours vt ON uti.tour_id = vt.tour_id WHERE u.user_region = 'Middle East' AND MONTH(vt.tour_date) IN (3, 4) AND YEAR(vt.tour_date) = 2021;"
list deepsea specie maximum depth 6000 meter,SELECT name FROM deep_sea_species WHERE max_depth > 6000;
lowest salary unique position basketball domain current year,"SELECT position, MIN(salary) FROM basketball_players WHERE year = YEAR(CURRENT_DATE) GROUP BY position;"
many virtual tour engaged middle east past month,"SELECT COUNT(*) FROM virtual_tours WHERE location LIKE '%Middle East%' AND date >= DATEADD(month, -1, GETDATE());"
average medical data point astronaut martinez,SELECT AVG(data_point) FROM AstronautMedicalData WHERE astronaut = 'M. Martinez';
name manufacturer spacecraft launched first satellite launched soviet union,"SELECT s.name, s.manufacturer FROM Spacecraft s WHERE s.launch_date > (SELECT launch_date FROM Spacecraft WHERE name = 'Sputnik 1');"
maximum number day took resolve critical incident government sector,SELECT MAX(incident_resolution_time) FROM incidents WHERE incident_severity = 'Critical' AND incident_sector = 'Government';
average time fill job position department year 2021,"SELECT department, AVG(DATEDIFF(close_date, open_date)) AS avg_time_to_fill FROM job_openings WHERE YEAR(open_date) = 2021 GROUP BY department;"
many security incident reported financial service sector europe 2020,SELECT SUM(incident_count) AS total_incidents FROM security_incidents WHERE sector = 'Financial Services' AND occurrence_date >= '2020-01-01' AND occurrence_date < '2021-01-01' AND region = 'Europe';
number primary care physician per caput state compare national average,"SELECT state, COUNT(*) / census.population AS physicians_per_capita FROM physicians INNER JOIN census ON physicians.state = census.state WHERE specialty = 'Primary Care' GROUP BY state;"
total number high severity vulnerability finance department,SELECT COUNT(*) FROM vulnerabilities WHERE department = 'finance' AND severity = 'high';
median number volunteer hour per volunteer last month,"SELECT AVG(hours_served) as median_hours_per_volunteer FROM (SELECT hours_served, COUNT(*) OVER() as total_rows, (@row_number:=@row_number + 1) as row_number FROM volunteer_hours, (SELECT @row_number:=0) AS vars WHERE volunteer_date >= DATE_SUB(CURRENT_DATE, INTERVAL 1 MONTH) ORDER BY hours_served) AS volunteer_hours_ordered WHERE row_number IN (floor((total_rows + 1) / 2), floor((total_rows + 2) / 2));"
maximum minimum ocean acidification level arctic ocean,"SELECT MAX(level), MIN(level) FROM ocean_acidification WHERE location = 'Arctic Ocean';"
list marine animal affected ocean acidification,SELECT name FROM marine_animals WHERE affected_by_acidification = TRUE;
maximum ocean acidification level ever recorded arctic ocean,SELECT MAX(acidification_level) FROM ocean_acidification_data WHERE location = 'Arctic Ocean';
total budget allocated digital divide reduction program 2019 2020,"SELECT Digital_Divide.year, SUM(Digital_Divide.budget) FROM Digital_Divide WHERE Digital_Divide.year IN (2019, 2020) GROUP BY Digital_Divide.year;"
top 3 virtual tour location highest engagement asia,"SELECT virtual_tour_location, SUM(engagement_value) AS total_engagement FROM virtual_tours WHERE engagement_date >= DATEADD(year, -1, GETDATE()) AND virtual_tour_location LIKE '%Asia%' GROUP BY virtual_tour_location ORDER BY total_engagement DESC LIMIT 3;"
many hospital new york state percentage new york city,"SELECT COUNT(hospitals.id), ROUND(100.0 * SUM(CASE WHEN hospitals.city = 'New York' THEN 1 ELSE 0 END) / COUNT(hospitals.id), 2) AS nyc_percentage FROM hospitals WHERE hospitals.state = 'New York';"
identify agricultural innovation project corresponding implementing organization ruraldevelopment database,"SELECT name, implementing_organization FROM agricultural_projects WHERE type = 'Innovation';"
maximum number virtual tour view dubai,SELECT MAX(views) FROM virtual_tours WHERE location = 'Dubai';
identify direct flight city departure arrival date month september 2022,"SELECT DepartureCity, ArrivalCity, COUNT(*) as 'Number of Direct Flights' FROM Flights WHERE DepartureDate = ArrivalDate AND DepartureDate BETWEEN '2022-09-01' AND '2022-09-30' GROUP BY DepartureCity, ArrivalCity;"
identify satellite launched 20150101 manufacturer,"SELECT SatelliteID, Manufacturer FROM Satellites WHERE LaunchDate < '2015-01-01';"
total cost manufacturing part supplier 2021,"SELECT supplier_name, SUM(part_cost) as total_cost FROM Supplier_Parts WHERE year = 2021 GROUP BY supplier_name;"
maximum number day taken resolve security incident sector last year,"SELECT sector, MAX(DATEDIFF(resolved, date)) FROM incidents WHERE date >= '2021-01-01' AND date < '2022-01-01' GROUP BY sector;"
find average age patient diagnosed disease ohio region grouped gender,"SELECT Gender, AVG(Age) FROM Patients WHERE Region = 'Ohio' GROUP BY Gender;"
number covid19 case texas last month,"SELECT COUNT(*) FROM covid WHERE state = 'Texas' AND test_date >= DATEADD(month, -1, GETDATE());"
get number new hire gender 2021,"SELECT gender, COUNT(id) AS new_hires  FROM employees  WHERE hire_date >= '2021-01-01' AND hire_date < '2022-01-01'  GROUP BY gender;"
calculate average ai adoption score hotel north american region excluding score 60 year 2022,SELECT AVG(ai_adoption_score) FROM hotels WHERE region = 'North America' AND ai_adoption_score >= 60 AND year = 2022;
average depth top 5 deepest trench along name,"SELECT NAME, AVG(DEPTH) OVER () AS AVG_DEPTH FROM TRENCHES WHERE RANK <= 5;"
many volunteer signed month 2022,"SELECT EXTRACT(MONTH FROM signup_date) as month, COUNT(*) as num_volunteers FROM volunteers WHERE YEAR(signup_date) = 2022 GROUP BY EXTRACT(MONTH FROM signup_date);"
top 3 city accessibility conference since 2021,"SELECT city, COUNT(*) as conference_count FROM conferences WHERE start_date >= '2021-01-01' GROUP BY city ORDER BY conference_count DESC LIMIT 3;"
average salary employee identify hispanic hired 2021,SELECT AVG(Salary) FROM Employees WHERE Ethnicity = 'Hispanic' AND YEAR(HireDate) = 2021;
retention rate employee department manager,"SELECT department, manager, COUNT(*) as num_employees, COUNT(termination_date) as num_terminated, ROUND(COUNT(*) - COUNT(termination_date)) / COUNT(*) * 100 as retention_rate FROM employees WHERE termination_date IS NULL GROUP BY department, manager;"
maximum ocean acidification level recorded southern ocean,SELECT MAX(acidification_level) FROM ocean_acidification_levels WHERE location = 'Southern Ocean';
percentage technology accessibility score 80 country middle east,"SELECT region, COUNT(*) FILTER (WHERE score > 80) as num_scores, COUNT(*) as total_scores, (COUNT(*) FILTER (WHERE score > 80) * 100.0 / COUNT(*)) as percentage FROM technology_accessibility WHERE region = 'Middle East' GROUP BY region;"
total number space mission conducted nasa russia 1990 2000 excluding failed mission,"SELECT SUM(mission_status = 'Success') FROM space_exploration WHERE country IN ('NASA', 'Russia') AND year BETWEEN 1990 AND 2000;"
total budget rural infrastructure project 2023 2024,"SELECT SUM(budget) FROM rural_infrastructure WHERE year IN (2023, 2024);"
list employee work department,SELECT * FROM Employees WHERE department != 'IT';
average age patient diagnosed hepatitis canada,SELECT AVG(Age) FROM PatientData WHERE Diagnosis = 'Hepatitis' AND Country = 'Canada';
total number employee completed diversity inclusion training,SELECT COUNT(*) FROM Employees WHERE DiversityTraining = FALSE;
maximum number point scored basketball player single game,SELECT MAX(points) FROM games WHERE team IN (SELECT team FROM players WHERE position = 'Basketball Player');
whats name ai topic country ai researcher published 10 paper last 2 year,"SELECT ais.name, ais.topic, ais.country FROM ais INNER JOIN (SELECT id, COUNT(*) as num_publications FROM ais WHERE publication_date >= DATE_SUB(CURRENT_DATE(), INTERVAL 2 YEAR) GROUP BY id) AS recent_publications ON ais.id = recent_publications.id WHERE recent_publications.num_publications > 10;"
agricultural innovation project budget greater region3s total budget,SELECT project_name FROM agricultural_innovation WHERE budget > (SELECT SUM(budget) FROM agricultural_innovation WHERE region = 'region_3');
total security incident per month past year,"SELECT MONTH(timestamp) as month, COUNT(*) as incident_count FROM security_incidents WHERE timestamp >= DATE_SUB(CURRENT_TIMESTAMP(), INTERVAL 1 YEAR) GROUP BY month;"
total number cultural heritage site italy spain,"SELECT SUM(CASE WHEN type = 'Cultural' THEN 1 ELSE 0 END) FROM sites WHERE country IN ('Italy', 'Spain');"
number successful failed login attempt grouped event type time period march 15 2022 000000 march 16 2022 000000,"SELECT event_type, COUNT(*) as total FROM security_events WHERE date_time > '2022-03-14 00:00:00' AND date_time < '2022-03-16 00:00:00' GROUP BY event_type;"
list policy number policyholder florida claim amount greater 3000,SELECT policy_number FROM policyholders WHERE state = 'FL' AND claim_amount > 3000;
identify top 2 vulnerability occurrence past 6 month along number affected system broken country,"SELECT vulnerability_name, COUNT(DISTINCT affected_system) as affected_systems, country FROM vulnerabilities WHERE occurrence_time >= NOW() - INTERVAL '6 months' GROUP BY vulnerability_name, country ORDER BY affected_systems DESC LIMIT 2;"
minimum risk score policyholder ontario,SELECT MIN(risk_score) FROM policyholders WHERE state = 'ON';
cultural heritage site japan virtual visitor q2 2022,"SELECT site_name, MAX(visitors) FROM (SELECT site_name, year, quarter, SUM(visitors) AS visitors FROM cultural_sites INNER JOIN virtual_visitors ON cultural_sites.site_id = virtual_visitors.site_id WHERE country = 'Japan' AND year = 2022 AND quarter = 2 GROUP BY site_name, year, quarter) AS t GROUP BY site_name;"
many covid19 vaccination administered asian community california q2 2021,SELECT SUM(covid_vaccinations.num_vaccinations) FROM covid_vaccinations WHERE covid_vaccinations.ethnicity = 'Asian' AND covid_vaccinations.location = 'California' AND covid_vaccinations.date BETWEEN '2021-04-01' AND '2021-06-30';
list policy updated last month,SELECT * FROM policies WHERE last_updated >= NOW() - INTERVAL 1 MONTH;
total number security incident finance sector severity score greater 6 france,SELECT COUNT(*) FROM security_incidents WHERE sector = 'Finance' AND country = 'France' AND severity_score > 6;
many people without health insurance u,"SELECT SUM(uninsured_population) FROM HealthInsurance WHERE state IN ('California', 'Texas');"
many marine protected area exist caribbean,SELECT num_areas FROM marine_protected_areas WHERE region = 'Caribbean';
total revenue generated virtual tour america,"SELECT region, SUM(revenue) FROM revenue WHERE region = 'Americas' AND tour_id IN (SELECT tour_id FROM tourism_packages WHERE type = 'Virtual');"
many employee identify gender male female,SELECT COUNT(*) FROM Employees INNER JOIN Genders ON Employees.Gender = Genders.Gender WHERE Gender != 'Male' AND Gender != 'Female';
retrieve detail astronaut 10 year experience,SELECT * FROM Astronauts WHERE role = 'Astronaut' AND years_of_experience >= 10;
total funding received womenled ethical ai company q1 2022,SELECT SUM(Funding) FROM WomenLedEthicalAI WHERE Quarter = 1 AND Year = 2022;
maximum revenue generated single online travel agency hotel united kingdom 5star rating,SELECT MAX(otas_revenue) FROM otas JOIN hotels ON otas.hotel_id = hotels.hotel_id WHERE hotels.country = 'UK' AND hotels.stars = 5;
find total cost agricultural innovation project ruraldevelopment database,SELECT SUM(cost) FROM agricultural_projects WHERE type = 'Innovation';
many virtual tour engaged new york hotel last month,"SELECT COUNT(*) FROM virtual_tours WHERE hotel_id IN (SELECT hotel_id FROM hotels WHERE city = 'New York') AND date >= DATEADD(month, -1, GETDATE());"
total number penalty minute montreal canadiens hockeypenalties table,SELECT SUM(penalty_minutes) FROM hockey_penalties WHERE team = 'Montreal Canadiens';
infection rate malaria south america,SELECT InfectionRate FROM Disease WHERE Name = 'Malaria' AND Region = 'South America';
calculate average cost successful satellite launch,SELECT AVG(cost) FROM launches WHERE launch_status = 'Success';
total number marine life research grant awarded grant schema,SELECT SUM(grant_amount) FROM Grants.ResearchGrants WHERE grant_type = 'MarineLifeResearch';
